"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b1382",9.64180464937462,9.66955075994148,9.71633141109706,9.84911812761554,8.99822306791198,9.02298076091024,8.83604899602732,8.99128122139771
"b2407",11.8831807336452,12.1611197584878,11.9971189266696,12.6914567113253,12.7482531551431,10.9314369207054,11.1303387418036,11.3506673998924
"b1221",10.7036831997137,10.9042606578314,11.0674324412132,11.3969751457673,11.0779156470104,11.1741384487708,11.0038154054201,11.4247597071617
"b0992",7.12906217977583,7.37623602981918,7.24082733326506,7.50907857529849,7.66947284321229,7.3810332762874,7.13557643235489,6.96036506164423
"b1198",9.19876174998315,10.7540059175765,11.1191724070119,10.3837964881119,9.1596168057463,8.92763761817928,9.96480979996838,9.23192773918688
"b3222",8.89655238226806,8.03351600772588,8.83301212520025,8.04605139989265,8.73248930942129,8.89862359371816,8.8809918453927,8.64089198740946
"b0886",10.5186555347819,10.7119388694867,10.5289743207892,10.3687866101079,9.90062316492089,9.71184271444526,10.3492972181426,10.3637190395848
"b2755",9.30335050688875,9.53816408220709,9.50704822723436,9.43314568535497,9.56420537817583,9.25337480302114,9.25993414940856,9.57297209227002
"b0047",9.02783594365128,9.38137514352751,9.27325095896416,9.22908094656673,9.0219715574566,8.85408372008734,8.6517457278325,8.84246253345429
"b1036",10.24556414023,10.4424663754596,10.032611867098,9.94951426451323,9.12689153173909,9.82848556219779,9.58251859110538,9.58357002388874
"b2068",8.0377600807793,8.55267560665576,8.66460567051547,8.4192802327605,8.79901912312644,8.70525617359396,8.28539351214564,9.02461023391664
"b0593",12.4831897063434,13.043099752057,12.4273346879918,12.6793565410152,11.8864707501721,12.4645322703917,13.93206923089,13.2753002260729
"b3818",5.68367639892689,5.83667115170952,5.68118433248283,5.47720336428821,5.75225951223514,5.89193728670559,5.86869256605482,5.9801624831265
"b0936",7.75923686079897,7.21188770051508,7.37231361496314,7.42199222960773,6.96811622024879,7.09856927452045,8.08404398684234,8.5285729771426
